AE1/3;LOINC:40560-5;Immunohistochemical Profile                       
Ber-EP4;LOINC:47010-4;Immunohistochemical Profile                     
CD10;LOINC:51214-5;Immunohistochemical Profile                        
CD31;LOINC:47015-3;Immunohistochemical Profile                        
CD44S;LOINC:17155-3;Immunohistochemical Profile                       
CEA;LOINC:2039-6;Immunohistochemical Profile                          
CK20;LOINC:40558-9;Immunohistochemical Profile                        
CK5/6;LOINC:47025-2;Immunohistochemical Profile                       
CK7;LOINC:40559-7;Immunohistochemical Profile                         
Calretinin;MESO:010;Immunohistochemical Profile                       
D2-40;LOINC:73909-4;Immunohistochemical Profile                       
E-cadherin;LOINC:29540-2;Immunohistochemical Profile                  
Epithelial Membrane Antigen;LOINC:10479-4;Immunohistochemical Profile
HBME-1;LOINC:50319-3;Immunohistochemical Profile                             
LeuM1;LOINC:10436-4;Immunohistochemical Profile                       
Mesothelin;LOINC:74125-6;Immunohistochemical Profile                  
N-cadherin;NMVB_LAB:N-CADHERIN;Immunohistochemical Profile            
PSAD;LOINC:10508-0;Immunohistochemical Profile                        
TAG-72;LOINC:47012-0;Immunohistochemical Profile                      
TTF;LOINC:40564-7;Immunohistochemical Profile                         
Thrombomodulin;LOINC:19146-0;Immunohistochemical Profile              
Vimentin;LOINC:10519-7;Immunohistochemical Profile                    
WT1;LOINC:50331-8;Immunohistochemical Profile                         

